company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
EMBRAER - EMBR3,68.00,295281000,53481364000,Bens Industriais,Material Aeronáutico e de Defesa, 1923831000, 784315000, -1047230000, -267570000, -3596240000,4087047000,0.00,0.57,0.35,1.38,7.81,3.97,-213.25,12.07,10.08,5.81,-7.12,-1.93,-25.74,12.03,24.73,2.98,22.78,21.68,21.16,-11.11,-66.87,-1.81,13.09,-999999,-999999,-999999,-999999,-999999,-999999,2.75,2.18,1.23,0.79,1.29,0.47,0.39
PRINER - PRNR3,16.25,4161000,1142612000,Bens Industriais,Serviços Diversos, 27768000, 25085000, 64940000, 14500000, -3090000,89896000,25.96,2.77,2.77,1.87,0.31,-0.23,-2.75,6.55,6.55,6.10,9.39,6.33,-0.95,8.25,7.29,0.48,34.01,28.07,39.90,15.47,21.09,-189.94,12.71,-999999,-999999,37.31,-999999,18.26,-999999,2.23,1.84,2.43,1.45,1.34,1.80,0.31
EVEN - EVEN3,5.95,5583000,1602115000,Consumo Cíclico,Incorporações, 162298000, 341294000, 195032000, 286220000, 53350000,128768000,428.87,3.10,3.10,1.30,-1.41,1.15,5.94,2.34,2.34,11.10,5.46,10.26,0.68,2.80,9.00,0.21,28.26,25.46,7.59,8.78,5.70,163.76,12.44,24.92,2.60,-999999,-999999,48.30,-18.59,0.66,0.60,0.84,0.48,0.58,1.11,14.71
KLABIN - KLBN11,19.43,110550000,53789029000,Materiais Básicos,Papel e Celulose, 2046945000, 2847388000, 4688903000, 3404880000, -2389490000,4421875000,84.95,4.55,4.86,3.43,2.62,3.33,4.52,20.94,27.53,23.26,49.08,54.89,-65.29,9.02,6.98,1.46,13.29,15.66,9.27,4.78,9.15,-11.95,12.16,-999999,23.43,72.42,54.53,6.53,-999999,2.78,4.31,2.15,2.35,5.02,7.81,4.89
VIVO - TELEFÔNICA BRASIL - VIVT3,27.33,116530000,103186984000,Telecomunicações,Telecomunicações, 5557687000, 5039977000, 4057910000, 6229370000, 4770526000,8679780000,88.85,0.61,0.61,0.67,0.88,0.55,0.42,7.95,7.95,7.23,5.97,8.92,6.86,8.98,21.40,1.70,16.07,13.75,17.33,15.31,12.59,15.89,11.89,3.10,2.13,-10.81,-2.51,8.80,6.88,1.28,1.09,1.25,0.91,1.12,1.09,3.32
M.DIAS BRANCO - MDIA3,23.66,15791000,8041192000,Consumo não Cíclico,Alimentos Diversos, 645948000, 888654000, 481840000, 504990000, 763850000,703243000,33.29,0.02,0.18,-0.07,1.74,0.28,0.37,7.04,8.08,11.69,7.18,7.18,11.49,5.46,23.47,1.65,14.31,10.52,14.74,25.21,17.11,15.12,11.43,-6.01,2.90,4.20,-10.61,-8.43,4.81,1.01,0.85,1.72,1.81,1.23,1.74,2.33
SANTOS BRASIL - STBP3,13.52,48584000,13679369000,Bens Industriais,Serviços de Apoio e Armazenagem, 741966000, 504303000, 429456000, 271740000, -13371000,1207280000,315.50,1.36,1.36,0.06,-0.35,-1.19,-3.01,112.19,112.19,22.75,20.52,12.42,-0.64,26.80,0.77,0.86,15.75,15.29,16.06,15.72,20.45,-339.31,11.33,-999999,117.13,179.08,269.68,-999999,-999999,17.67,17.16,3.65,3.22,2.54,2.16,6.33
LOJAS RENNER - LREN3,16.53,247246000,16308005000,Consumo Cíclico,"Tecidos, Vestuário e Calçados", 1196668000, 976259000, 1291703000, 633120000, 1096270000,1456139000,54.35,-0.45,-0.73,-0.59,-0.45,-1.44,0.43,12.45,11.11,9.72,12.80,6.46,19.93,11.89,9.69,1.21,13.70,10.73,17.19,15.27,37.18,34.78,11.20,3.12,1.72,-0.88,12.01,0.26,13.62,1.71,1.19,1.67,1.96,2.40,6.93,4.23
USIMINAS - USIM5,5.42,75521000,8947125000,Materiais Básicos,Siderurgia, 3362000, 1640372000, 2092895000, 10059960000, 1291740000,806972000,100.87,0.67,0.47,-0.05,0.32,-0.06,0.28,1.38,0.23,6.26,6.98,41.70,4.53,2.25,19.29,0.27,20.36,123.47,7.79,5.55,2.09,27.21,11.09,-25.09,-61.08,14.63,46.04,-999999,-999999,0.28,0.28,0.49,0.39,0.87,1.23,0.00
ALPARGATAS - ALPA4,8.87,17176000,5508274000,Consumo Cíclico,Calçados, 107397000, -1867484000, 108543000, 692570000, 126880000,51236000,0.00,-0.24,-0.24,-0.45,2.48,-0.64,-1.65,2.68,2.68,-50.09,2.11,20.31,4.75,0.35,5.91,0.16,56.11,40.23,-3.70,84.81,36.67,204.63,107.51,-3.28,-16.17,-999999,-20.90,14.08,-13.58,1.50,1.08,1.85,1.79,7.45,9.73,1.21
SERENA ENERGIA S.A. - SRNA3,10.00,56686000,16903079000,Utilidade Pública,Energia Elétrica, 297423000, 62166000, -8030000, 296370000, 54730000,1549427000,0.00,4.63,4.63,6.40,7.01,3.77,12.25,5.27,5.27,1.21,-0.21,7.08,1.44,7.00,9.05,0.48,20.96,11.53,101.20,-542.49,26.58,0.00,10.91,40.29,55.58,4.44,-999999,98.03,-999999,1.11,0.61,1.22,1.16,1.88,0.00,0.00
COPEL - CPLE6,11.88,185235000,47185709000,Utilidade Pública,Energia Elétrica, 2799370000, 2327168000, 1149320000, 5048600000, 3909760000,4410691000,58.34,2.17,2.37,1.84,2.32,1.28,1.28,11.20,10.94,9.46,5.34,22.33,19.56,8.38,8.81,0.99,12.04,9.71,13.68,21.22,3.88,5.73,10.70,-5.60,6.30,10.11,0.55,42.00,25.31,1.35,1.06,1.29,1.13,0.87,1.12,6.67
AZUL - AZUL4,1.29,206413000,35635625000,Bens Industriais,Transporte Aéreo, -9151369000, -2380427000, -722357000, -4213210000, -10834300000,3390634000,0.00,5.91,5.91,5.65,10.89,14.02,10.57,-30.07,-30.07,-11.16,-3.80,-22.98,-76.57,55.41,-24.06,-7.24,-0.18,-0.49,-8.51,-19.28,-7.31,-4.59,10.51,-999999,-999999,-999999,-999999,-999999,-999999,-0.05,-0.15,-0.95,-0.73,-1.68,-3.51,0.00
