company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
VULCABRAS - VULC3,19.81,10221000,5454799000,Consumo Cíclico,Calçados, 569867000, 494883000, 469930000,-999999,-999999,593172000,64.32,0.02,0.04,0.12,0.42,-999999,-999999,26.62,27.01,24.81,27.46,-999999,-999999,22.85,8.03,2.14,9.27,7.48,11.18,7.29,-999999,-999999,9.20,79.45,31.84,26.61,19.99,-999999,-999999,2.47,2.02,2.77,2.00,-999999,-999999,7.58
USIMINAS - USIM5,4.19,65171000,7665706000,Materiais Básicos,Siderurgia, 3362000, 1640372000, 2092895000,-999999,-999999,806972000,0.00,0.67,0.47,-0.05,0.32,-999999,-999999,1.38,0.23,6.26,6.98,-999999,-999999,2.25,19.29,0.27,15.74,123.47,7.79,5.55,-999999,-999999,9.50,-25.09,-61.08,14.63,46.04,-999999,-999999,0.22,0.28,0.49,0.39,-999999,-999999,0.00
UNIPAR CARBOCLORO - UNIP6,58.39,6135000,7365441000,Materiais Básicos,Químicos Diversos, 557118000, 791273000, 1334300000,-999999,-999999,763429000,84.83,0.89,0.77,-0.06,-0.01,-999999,-999999,24.57,19.91,32.51,57.22,-999999,-999999,10.41,23.41,5.75,10.15,9.73,10.01,6.83,-999999,-999999,9.65,11.97,26.45,8.43,34.54,-999999,-999999,2.49,1.94,3.25,3.91,-999999,-999999,8.63
CSN - CSNA3,7.67,63392000,44613533000,Materiais Básicos,Siderurgia, -1538141000, 402649000, 2167692000,-999999,-999999,4574724000,-27.85,4.07,4.06,3.19,3.59,-999999,-999999,-20.03,-21.12,-1.82,7.97,-999999,-999999,6.63,9.87,-1.98,-3.88,-4.53,-81.93,12.42,-999999,-999999,9.75,-999999,-999999,-40.05,81.12,-999999,-999999,0.78,0.96,1.49,0.99,-999999,-999999,7.08
DIRECIONAL ENGENHARIA - DIRR3,42.66,56752000,7752023000,Consumo Cíclico,Incorporações, 727668000, 386877000, 276553000,-999999,-999999,793217000,88.53,0.41,0.02,0.04,0.51,-999999,-999999,29.96,31.67,16.97,15.70,-999999,-999999,17.31,12.56,3.76,11.34,7.23,11.72,12.99,-999999,-999999,9.77,37.96,43.21,-999999,-999999,-999999,-999999,3.40,2.29,1.99,2.04,-999999,-999999,8.00
EQUATORIAL ENERGIA - EQTL3,35.95,227690000,88805275000,Utilidade Pública,Energia Elétrica, 3767805000, 2876284000, 1922004000,-999999,-999999,9048642000,31.90,3.78,3.80,3.49,5.02,-999999,-999999,11.53,10.77,9.84,8.27,-999999,-999999,10.85,21.46,2.47,14.53,12.16,21.48,24.54,-999999,-999999,9.81,2.47,6.77,19.40,9.79,-999999,-999999,1.68,1.31,2.11,2.03,-999999,-999999,2.22
DEXCO - DXCO3,5.72,11101000,9727888000,Materiais Básicos,Madeira, 174375000, 811270000, 764928000,-999999,-999999,986695000,91.24,2.29,2.19,1.72,1.71,-999999,-999999,3.75,2.47,12.33,12.87,-999999,-999999,6.70,8.38,0.31,18.20,28.37,8.39,7.36,-999999,-999999,9.86,-10.00,-15.54,13.44,32.83,-999999,-999999,0.68,0.70,1.03,0.95,-999999,-999999,0.95
CONSTRUTORA TENDA - TEND3,23.95,38705000,3392307000,Consumo Cíclico,Incorporações, 100711000, -102510000, -555714000,-999999,-999999,341167000,0.00,1.08,1.00,3.92,-3.15,-999999,-999999,17.30,11.24,-11.15,-76.84,-999999,-999999,14.78,8.80,1.52,15.72,14.39,-19.05,-0.95,-999999,-999999,9.94,-2.83,-17.56,-999999,-999999,-999999,-999999,2.72,1.62,2.12,0.73,-999999,-999999,0.73
MOTIVA SA - MOTV3,13.72,61777000,58764466000,Bens Industriais,Exploração de Rodovias, 1311615000, 1860446000, 4212180000,-999999,-999999,5892464000,43.10,4.18,3.88,3.05,1.78,-999999,-999999,10.23,9.18,13.63,36.05,-999999,-999999,9.87,7.03,0.72,19.08,16.45,16.86,5.29,-999999,-999999,9.97,77.64,-1.66,23.94,18.76,-999999,-999999,1.95,1.51,2.30,1.91,-999999,-999999,2.32
YDUQS - YDUQ3,16.32,53335000,9155533000,Consumo Cíclico,Serviços Educacionais, 341206000, 154652000, -55441000,-999999,-999999,915423000,51.64,2.56,2.62,2.80,3.21,-999999,-999999,10.29,10.92,5.01,-1.98,-999999,-999999,10.39,10.74,1.11,14.77,7.24,42.54,-50.49,-999999,-999999,10.00,26.19,-11.99,-24.84,-999999,-999999,-999999,1.52,0.79,2.13,1.00,-999999,-999999,3.53
